class,specobjid,ra,dec,z,sigma_forbidden,oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_eqw
GALAXY,319783918565877760,178.6796,-0.6723078,0.1543017,125.1929,134.8122,48.025,17.55816,83.8687,23.93482,18.25179,8.706703,-6.322114
GALAXY,319787766856574976,178.8528,-0.56372729,0.2482417,1,-0.3173304,2.345442,2.778553,0.7559143,6.387486,-5.355868,-2.524052,0.1008371
GALAXY,319797937339131904,178.46783,-0.52922573,0.05168007,48.31337,39.10293,52.66804,58.28236,212.6905,48.69274,32.54258,7.043794,-29.16497
GALAXY,319807283187968000,178.09552,-0.75839331,0.1198316,134.4494,14.19671,72.53846,18.55018,42.32518,9.059442,10.63498,0.3397509,-1.322304
GALAXY,319822951228663808,177.35064,-0.87111655,0.08347482,88.35487,3.135778,28.64394,8.636275,36.65211,10.62048,11.47332,4.990236,-3.866651
GALAXY,319854837065869312,177.70477,1.0909884,0.08488378,89.06561,12.32516,78.18251,52.34524,231.2929,34.22639,23.26551,4.90693,-24.55139
GALAXY,319873528763541504,178.01373,0.046777333,0.05922526,1,-1.203221,1.967403,0.5702805,4.364164,-1.268644,-0.1586609,0.3982669,0.1956369
GALAXY,319894144606562304,178.59452,0.53093434,0.2292568,324.0085,-3.003081,9.993333,-0.7209588,4.538551,12.61054,-18.60615,3.739866,-1.0741
GALAXY,319903215577491456,178.20299,0.66193587,0.07820561,129.3126,44.81884,270.3514,124.774,496.6996,101.2812,70.10635,17.55833,-13.11962
GALAXY,319912836304234496,178.51992,0.60515084,0.2287821,67.74748,2.590835,2.959197,0.1016534,3.526324,3.140781,1.087754,0.1537168,-0.4083229
GALAXY,319922457030977536,179.24127,0.71169921,0.07653059,82.45292,6.921098,4.625411,5.088132,14.53683,4.152001,-25.4701,-0.4632009,-1.241138
GALAXY,320909268498802688,180.25809,-0.67661764,0.07671086,70.73756,67.30573,225.4288,152.6995,675.3098,117.5657,90.23058,13.51438,-60.9823
GALAXY,320910917766244352,180.40962,-0.46364902,0.168108,500,5.567386,3.931789,0.9503488,3.916132,-5.429331,-8.201023,-4.762846,-0.200199
GALAXY,320942253847635968,179.65724,-0.47016106,0.08380923,57.54996,7.83914,7.507061,7.22085,14.55242,2.581643,3.596566,0.3268999,-0.9923899
GALAXY,320951049940658176,179.16688,-0.98445732,0.1268452,64.65926,4.089308,3.135712,13.13024,21.03055,3.763133,1.745691,0.3736245,-0.5896356
GALAXY,320957097254610944,179.15742,-0.18612697,0.1064471,149.9105,5.387624,3.181265,8.896646,10.69617,3.962899,4.091252,-3.208836,-0.9038731
GALAXY,320971665783678976,179.22593,1.0992994,0.03944224,63.20025,127.3358,622.2001,415.3825,1606.873,247.6831,186.2261,26.02636,-83.92596
GALAXY,320988983091816448,179.19845,-0.062175032,0.1700602,84.72123,15.40667,112.9765,64.48368,301.7407,44.28136,33.21098,6.258823,-29.62909
GALAXY,320999978208094208,179.60327,-0.073814102,0.1072874,157.7929,9.759494,17.80365,22.88519,25.99389,-1.920844,1.77326,5.380199,-0.4633798
GALAXY,321006575277860864,179.80274,0.70642663,0.0621082,80.37126,12.34444,126.7988,54.41625,226.223,35.8597,28.73169,5.232635,-14.99629
GALAXY,321021693562742784,180.11414,0.5640833,0.1241733,151.4413,205.7785,185.4986,45.4454,204.7126,51.86574,46.43615,24.83634,-15.00426
GALAXY,321043134039484416,180.53398,0.036815211,0.09384583,101.3783,9.337143,54.08045,23.8851,95.42107,18.51098,14.98436,4.494296,-9.591159
GALAXY,321048631597623296,180.7485,0.86464314,0.07852136,73.15309,9.02266,33.69263,18.19925,73.35921,13.97781,6.670088,1.534133,-7.061134
GALAXY,322009056162113536,182.57692,-0.69502671,0.1613077,133.366,14.08243,27.9241,10.9398,74.57362,17.18618,13.8264,-9.481334,-12.07793
GALAXY,322024999080716288,182.37368,-0.5350572,0.1849332,1,0.3624907,0.334891,1.099304,-0.3534875,1.564448,-0.07080092,-0.9300312,0.199148
GALAXY,322029122249320448,182.56342,-0.14594976,0.3176459,34.34127,0.5019731,-2.16692,1.302368,-6.149184,3.062663,-0.869274,0.03621685,-0.8773312
GALAXY,322055785406294016,181.38861,-0.12065689,0.13016,96.24837,2.452476,3.287618,-0.2962191,7.848928,7.203707,-3.047767,2.953351,-0.5390593
GALAXY,413366927524653056,261.7568,56.117721,0.1919324,123.3577,6.956466,10.03296,0.7707372,19.40275,4.207615,7.230117,-2.171349,-1.207603
GALAXY,413371875326978048,261.49217,56.636831,0.02952632,500,15.47951,10.13599,17.46513,42.82681,-1.29022,-30.48762,17.25427,-0.366654
GALAXY,417763875883083776,327.56987,-0.07903455,0.1269329,138.1852,12.85957,94.46591,46.05787,202.4986,34.34406,27.8394,7.701346,-14.71673
GALAXY,417811704638892032,327.17697,0.86549166,0.1151652,198.9874,2.837634,21.26083,-1.534274,9.430786,-2.143162,4.777648,-4.19798,-0.5407934
GALAXY,417842765842376704,327.80436,0.75537487,0.1088694,72.53712,93.19062,181.1045,137.6628,545.5328,103.7367,72.60323,21.06903,-61.40153
GALAXY,417849637790050304,328.24557,0.26686584,0.1112573,1,1.733938,-4.912857,7.687112,18.67804,-1.546858,-0.006945169,0.3199672,-0.5076
GALAXY,417849912667957248,328.29099,0.53420123,0.1274331,85.52256,7.418201,17.01156,6.152273,21.09426,9.205524,7.071767,0.2234977,-1.896444
GALAXY,418851019598882816,330.47926,-0.74474564,0.1282073,83.75342,64.67724,168.5012,122.5343,530.1707,97.77747,57.93655,17.33879,-56.57449
GALAXY,418852119110510592,330.6977,-0.42750872,0.1889536,138.0612,18.36118,65.58803,39.56186,153.213,28.19328,16.21462,1.659862,-32.65586
GALAXY,418898573476784128,329.66493,-0.33645437,0.2686123,89.17505,6.484032,-2.176695,-0.6131728,-0.1471186,-0.9392436,-0.4929263,-25.80461,-0.4019462
GALAXY,418906544936085504,328.93497,-0.60807564,0.1572085,98.01297,18.43491,119.9579,19.40388,188.3504,28.04238,26.03097,2.021922,-21.12712
GALAXY,418914516395386880,329.20575,-0.83932161,0.2165206,86.36346,1.316391,0.6694685,1.826675,-0.8882933,4.575264,-0.2456743,-0.02212686,0.3058162
GALAXY,418970316610496512,329.94516,0.028654479,0.1240018,86.33352,23.96834,34.26818,17.70273,68.74357,15.41791,11.42546,7.257593,-6.037663
GALAXY,419006050738399232,331.08014,0.34781497,0.08429912,170.1445,45.26788,104.9615,37.46247,128.2753,68.96266,43.71384,30.35079,-6.124972
GALAXY,419964543540684800,332.79208,-0.60904972,0.1263575,57.59,12.91378,53.67063,44.799,174.4741,23.02504,17.5559,3.85545,-26.85366
GALAXY,419966192808126464,332.64026,-1.2271355,0.09519269,90.27512,21.03502,23.19992,6.842444,23.84928,19.59061,2.102373,7.143606,-0.8367172
GALAXY,419968666709288960,333.10287,-0.15144523,0.1813388,45.31915,6.005344,13.91578,3.863041,3.787357,4.870535,4.223995,1.004581,-0.344928
GALAXY,419982410604636160,332.7579,-0.10110904,0.05690167,83.5304,15.67303,48.9565,8.904003,80.87621,16.96977,18.61304,7.824791,-4.99696
GALAXY,420007424494168064,331.66406,-0.48413939,0.08191887,85.70795,20.74345,84.1282,26.16624,156.4387,35.50239,32.80976,13.84815,-13.82565
GALAXY,420050030569744384,330.80116,1.0165811,0.07512206,223.0683,16.13205,29.7155,4.148632,11.61669,11.96975,10.20609,1.44133,-0.7732472
GALAXY,420107754930202624,332.16717,0.81796262,0.09533942,91.92342,27.43801,78.00646,62.11827,241.0648,51.95308,41.58767,13.61876,-25.84825
GALAXY,420120949069735936,332.74528,0.25958371,0.1422452,142.513,23.13034,90.11766,35.92334,145.1442,41.45522,30.97529,12.31885,-9.414859
GALAXY,421111334218786816,334.1683,-0.96589253,0.07681248,107.1015,32.43295,146.7701,71.92616,356.6864,67.79202,49.10972,16.60484,-18.29511
GALAXY,421124253480413184,333.75905,-0.91776678,0.1484768,122.9233,4.299054,59.51366,15.16711,107.817,13.48343,12.34951,9.827698,-11.50891
GALAXY,421183352230406144,332.66899,0.36186741,0.08557059,56.51332,4.364654,15.15277,8.324999,18.87289,4.209052,6.108023,-0.57893,-1.455293
GALAXY,421194072468776960,332.83684,-0.036484595,0.1996367,1,1.498123,1.555315,-1.226341,9.080835,-0.5149234,0.7678735,2.40772,-0.66614
GALAXY,421213588800169984,333.47033,0.58173936,0.2072618,112.0985,2.044204,1.749569,1.458832,-2.863338,-2.276216,5.649576,8.095592,-0.5483921
GALAXY,421217162212960256,333.37131,0.1657196,0.1130724,145.414,-3.00377,11.24322,-4.070129,-0.5820913,1.94355,4.153973,-5.463532,-0.1029572
GALAXY,421229256840865792,333.77973,0.093161806,0.08873554,125.5087,52.26606,152.4406,43.00719,150.2921,73.91198,63.11164,27.72422,-6.879996
GALAXY,421230081474586624,334.11899,1.0581171,0.1509791,113.4739,10.84572,67.41955,44.35482,187.2843,19.05915,17.42951,4.359662,-13.59242
GALAXY,421233380009469952,334.03197,0.9724827,0.06162848,84.91579,32.75289,38.54067,36.43198,130.7266,42.02656,24.76349,1.645191,-11.77215
GALAXY,421247123904817152,334.69802,0.39854634,0.07755976,51.481,21.91105,114.7155,78.4756,344.2541,65.72668,36.20569,6.072979,-31.71822
GALAXY,422227069498320896,336.096,-1.2699459,0.1335747,131.2912,8.323858,21.94303,12.44902,55.92618,13.7936,8.523664,3.851063,-6.927696
GALAXY,422242187783202816,336.40248,-0.48580799,0.09899433,1,2.897962,-0.2422445,-1.374343,5.279889,-1.919527,-1.58239,-0.2182682,-0.457355
GALAXY,422281770201802752,335.38912,-0.95587244,0.06991841,56.50156,556.4191,146.219,271.3524,867.4283,129.265,92.84521,30.86117,-66.19377
GALAXY,422283694347151360,335.34064,-0.81135281,0.1319147,42.86208,6.313384,2.77251,2.98969,5.832661,4.120776,0.4657851,0.3340935,-0.7879152
GALAXY,422284518980872192,334.7008,-0.62517628,0.09480413,200.8563,5.422111,6.551722,3.737805,4.451165,10.11358,4.306375,7.48731,-0.03290391
GALAXY,422332622614587392,335.33984,0.32055872,0.1234919,111.0033,7.223746,37.01801,10.3746,73.24387,14.46697,11.24747,3.286353,-6.710963
GALAXY,422342518219237376,335.69275,0.16184466,0.09492282,84.84954,11.32457,58.34067,42.9897,171.5884,20.44444,33.73962,4.349895,-13.74156
GALAXY,422359010893654016,335.99755,0.81159381,0.2173274,263.7928,1.48084,3.921155,2.879687,1.521788,-0.794672,14.98637,-6.214192,-0.4323345
GALAXY,422376877957605376,336.60453,0.14490822,0.06457656,151.8403,14.88788,30.47565,9.557384,31.51111,22.26756,3.492586,9.669461,-1.479941
GALAXY,423354343845029888,338.11962,-0.99238091,0.2033761,224.5925,9.077908,25.01523,1.402138,1.345965,9.623268,10.11325,1.221119,-0.3650597
